bus_id,hora_dia,latitud,longitud,velocidad_kmph,dia_semana
Bus_03,21,4.619631049107753,-74.08989258331998,24.619627568625777,Viernes
Bus_04,13,4.745473156761782,-74.07944141373562,30.669157242373686,Miércoles
Bus_01,5,4.668068431207546,-74.08115949815078,17.64656182853995,Lunes
Bus_03,17,4.635407569501969,-74.11254471129799,41.64665208501572,Miércoles
Bus_03,20,4.611024512099502,-74.13331397983013,36.70740945950203,Jueves
Bus_04,17,4.625463685763131,-74.10694706615378,27.077402380982306,Lunes
Bus_01,18,4.677966092283403,-74.13574058559182,25.308509699741897,Miércoles
Bus_01,7,4.6505504764646926,-74.06099029648162,36.44628246317697,Miércoles
Bus_03,10,4.724332504882391,-74.11541225392622,22.927066193640382,Martes
Bus_02,22,4.664633128549271,-74.13455402527767,31.25365315765169,Viernes
Bus_03,9,4.6373071408881446,-74.14745522400943,41.61398787431406,Lunes
Bus_03,19,4.692571747990605,-74.08541776137135,21.887428808628076,Martes
Bus_03,6,4.706016582532817,-74.08630976825452,33.68600829120203,Jueves
Bus_03,14,4.625056286185142,-74.11593958334187,33.157252669354925,Viernes
Bus_04,22,4.625142882443248,-74.14282881111524,29.02663181337317,Lunes
Bus_01,17,4.605500714040031,-74.10903711051049,24.962104158960635,Miércoles
Bus_04,9,4.710460302259846,-74.11887825049367,42.14797056894385,Lunes
Bus_04,5,4.699570679143271,-74.0822879360265,24.024313642330338,Miércoles
Bus_04,5,4.6711946313624715,-74.08942207505473,11.8796109887038,Viernes
Bus_03,22,4.72662556734538,-74.11354062718024,36.405335916310335,Miércoles
Bus_02,19,4.7208505229425075,-74.1282107445745,17.98696650232166,Jueves
Bus_01,21,4.6878031546595125,-74.05119640338444,36.91881144855087,Miércoles
Bus_02,15,4.730240692076989,-74.10459983788039,43.34903247843444,Jueves
Bus_04,21,4.630876181505515,-74.08117257642198,36.29749878398674,Viernes
Bus_04,17,4.616787942909659,-74.13594470324217,40.71411301887491,Viernes
Bus_02,5,4.640462441727548,-74.10144103003407,50.200491069296476,Lunes
Bus_02,6,4.608563028413397,-74.14724632801305,39.66760462608947,Jueves
Bus_02,13,4.679675429200155,-74.09945448820896,33.305733926254355,Jueves
Bus_04,7,4.7404908538442445,-74.05359825928822,46.339481835236484,Martes
